city,name,img,detail,time,mileage,type,price,old-price,icon-new,label
北京,菲亚特 致悦 2014款 1.4T 自动运动版,https://image.guazistatic.com/gz01190627/18/03/6f5196af73f8d542c877f543098efa5d.jpg,/cs/c1be48143e12c12ax.htm,2016年,5.6万公里,到店服务,6.00万,15.10万,新上架,
北京,起亚K3S 2014款 1.6L 自动GLS,https://image.guazistatic.com/gz01190625/12/07/bffc4db296f8ffa0d5e46ac7c1c479b1.jpg,/huizhou/07e6e649a72c51c8x.htm,2015年,3.4万公里,到店服务,6.00万,13.50万,,
北京,标致301 2016款 1.6L 自动舒适版,https://image.guazistatic.com/gz01190626/12/27/cf40e3b344c372cb24bb1ec5dbeec4fa.jpg,/weifang/806fa686cba32461x.htm,2017年,2.3万公里,到店服务,5.32万,10.60万,,
北京,本田 哥瑞 2016款 1.5L CVT舒适版,https://image.guazistatic.com/gz01190621/18/08/6d55db0b8639dd9ca09ee3f2eb732413.jpg,/xa/37fad82cdf4d8245x.htm,2017年,2.7万公里,到店服务,6.97万,10.80万,,
北京,传祺GA4 2018款 200T 自动尊贵版,https://image.guazistatic.com/gz01190628/11/52/d3af5a5b435dc0984b63052a2fcd6e43.jpg,/cs/40f2b69d43178cfbx.htm,2018年,0.6万公里,到店服务,8.00万,12.60万,新上架,准新车
北京,东风风神A60 2016款 1.6L 自动豪华型,https://image.guazistatic.com/gz01190625/12/35/e921771d36ef046ab66034342dc05f36.jpg,/nn/bf3066be90623c69x.htm,2017年,100公里,到店服务,5.50万,9.10万,,
北京,现代 悦纳 2016款 1.4L 自动精英版TOP,https://image.guazistatic.com/gz01190628/11/07/10a57739c0ea229cc85c0d0649e20e3f.jpg,/dg/0c87ad5e8af4deccx.htm,2016年,2.3万公里,到店服务,6.50万,10.50万,新上架,
北京,本田 飞度 2016款 1.5L LX CVT舒适型,https://image.guazistatic.com/gz01190628/12/51/9a6fe9835c7184d2039806a3d391da98.jpg,/qd/56788b5db2e77c07x.htm,2016年,3.0万公里,到店服务,7.20万,8.90万,新上架,
北京,现代 领动 2016款 1.6L 手动智炫·青春型,https://image.guazistatic.com/gz01190628/11/19/0a37ca85717aaf3f896e21e3dfbd3425.jpg,/sy/3d9777c8b388a22dx.htm,2016年,1.4万公里,到店服务,6.30万,10.80万,新上架,
北京,本田 竞瑞 2017款 1.5L CVT舒适版,https://image.guazistatic.com/gz01190628/14/50/fc480346e8c3151166a5cbac8e9cd309.jpg,/dg/bc33b2580b9fe446x.htm,2017年,1.9万公里,到店服务,7.98万,11.90万,新上架,
北京,标致308 2014款 乐享版 经典 1.6L 自动优尚型,https://image.guazistatic.com/gz01190628/12/52/031e267a86049e75c5853a5e8d505672.jpg,/qd/70a2704b001db603x.htm,2015年,6.2万公里,到店服务,5.60万,12.60万,新上架,
北京,福特 福克斯 2017款 三厢 1.6L 自动舒适型智行版,https://image.guazistatic.com/gz01190625/17/59/da29af501169e5072aa004c9052a8890.jpg,/km/e5000baa0ee6e4bdx.htm,2017年,3.3万公里,到店服务,7.00万,13.80万,,超值
北京,雪佛兰 科鲁兹 2016款 1.5L 自动时尚天窗版,https://image.guazistatic.com/gz01190625/18/08/a0b79226eb04c5c7f69ee0c5cadbca1a.jpg,/cd/6b38c0a2b61032edx.htm,2016年,3.2万公里,到店服务,6.80万,13.80万,,
北京,雪铁龙 爱丽舍 2017款 1.6L 手动时尚型,https://image.guazistatic.com/gz01190628/12/15/8ae77ace706d73d241cc65af5f44d7c7.jpg,/xm/6d62a14e40a3f37ex.htm,2018年,0.7万公里,到店服务,5.50万,9.10万,新上架,准新车
北京,本田 飞度 2014款 1.5L LX CVT舒适型,https://image.guazistatic.com/gz01190627/13/48/3741c06db21817c3048f0e92717117be.jpg,/wx/467b64443305cb15x.htm,2014年,3.3万公里,到店服务,6.00万,8.90万,,
北京,大众 朗行 2015款 1.6L 自动风尚版,https://image.guazistatic.com/gz01190626/18/54/ad384a0c896604c162816c0dfda9789c.jpg,/zz/0962ef26e47c1a41x.htm,2017年,3.6万公里,到店服务,7.60万,13.60万,,
北京,大众POLO 2016款 1.6L Cross Polo 自动,https://image.guazistatic.com/gz01190626/12/32/86dc700b1bcf08a707dff9ed9380545b.jpg,/ty/f3e23d80d0a64d09x.htm,2017年,2.3万公里,到店服务,7.50万,12.80万,,
北京,标致301 2014款 1.6L 自动舒适版,https://image.guazistatic.com/gz01190625/15/20/9cd215e93e5813834a2d3eb7ea1f4472.jpg,/anshan/9da2a46b3dbc2636x.htm,2015年,6.5万公里,到店服务,4.20万,10.30万,,超值
北京,起亚K3 2013款 1.6L 自动GLS,https://image.guazistatic.com/gz01190628/11/26/823a9ca4e4c4a317dda973e1b04563ea.jpg,/xa/d0bf7c4569c93c22x.htm,2015年,4.6万公里,到店服务,7.00万,13.50万,新上架,
北京,大众 朗逸 2013款 改款经典 1.6L 手动风尚版,https://image.guazistatic.com/gz01190625/20/35/1c4431cfbc466711c4ea582829ece82d.jpg,/sy/ef17e37cb8b70cd8x.htm,2017年,2.3万公里,到店服务,7.00万,12.30万,,
北京,大众 朗逸 2015款 1.6L 手动风尚版,https://image.guazistatic.com/gz01190625/10/54/d32a05d5e8284b4872530debfdebcd19.jpg,/nmg/8f1b6be224bf70ecx.htm,2016年,2.5万公里,到店服务,7.00万,11.90万,,
北京,雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,https://image.guazistatic.com/gz01190628/12/45/007abcbcc7caed8abcf91cef5cb219eb.jpg,/qd/d430bd06073df773x.htm,2014年,6.0万公里,到店服务,7.50万,18.40万,新上架,
北京,雪铁龙 爱丽舍 2015款 质尚版 1.6L 手动时尚型,https://image.guazistatic.com/gz01190626/12/40/037e91d42bcfe9cc08b2716894477398.jpg,/weifang/2a8fc61cc203f32bx.htm,2016年,2.6万公里,到店服务,5.00万,9.10万,,
北京,荣威360 2015款 1.5L 自动豪华版,https://image.guazistatic.com/gz01190624/11/27/da91cfffd6e9d763a226ac57201c02b5.jpg,/su/64d9f73e5f6498a1x.htm,2016年,4.8万公里,到店服务,5.10万,9.80万,,
北京,福特 福睿斯 2015款 1.5L 自动时尚型,https://image.guazistatic.com/gz01190627/10/51/221dc5935e09371db8364c6305ac8314.jpg,/nn/656dc1aa457b01c5x.htm,2015年,4.9万公里,到店服务,6.20万,13.00万,,
北京,福特 福克斯 2015款 两厢 1.6L 自动风尚型,https://image.guazistatic.com/gz01190627/12/26/87e7b8e5b4eb4e222758191aa0e5e875.jpg,/zz/e92bd4e1c5a1b3d1x.htm,2016年,4.6万公里,到店服务,7.00万,14.80万,,
北京,福特 福克斯 2015款 三厢 1.6L 自动舒适型,https://image.guazistatic.com/gz01190626/17/46/e2f7642601793d36b8624b73aba27057.jpg,/zhongshan/8a92a857dd5a8962x.htm,2016年,4.7万公里,到店服务,7.00万,13.50万,,
北京,起亚K2 2012款 三厢 1.6L AT Premium纪念版,https://image.guazistatic.com/gz01190621/12/35/85be5507ed8951e9e98b0d0857fb90e9.jpg,/xa/82a38daadda2e86ax.htm,2014年,5.0万公里,到店服务,4.70万,10.80万,,"超值,急售"
北京,起亚K2 2015款 三厢 1.4L AT GLS,https://image.guazistatic.com/gz01190623/10/06/73129a3b61bc3ebeeff899a6c18775fd.jpg,/ty/5e2afba8d9142ca8x.htm,2015年,4.5万公里,到店服务,4.90万,9.30万,,急售
北京,起亚K4 2014款 1.8L 自动DLX,https://image.guazistatic.com/gz01190627/13/07/c86367dd21910be973bea4d2574a63d6.jpg,/zz/b442850dd0a1cc43x.htm,2015年,3.8万公里,到店服务,7.70万,17.20万,,超值
北京,标致408 2015款 1.2T 自动豪华版,https://image.guazistatic.com/gz01190625/12/36/25455e4cf0dc9205985dc6727cc43e48.jpg,/tj/fdc305c7832cbbc1x.htm,2016年,4.8万公里,到店服务,8.00万,16.50万,,
北京,雪铁龙 爱丽舍 2014款 1.6L 自动时尚型,https://image.guazistatic.com/gz01190628/15/27/3e0b7d5b3c294d136d85faee73323830.jpg,/km/5b75952bd1bd9f32x.htm,2014年,4.2万公里,到店服务,4.00万,10.20万,新上架,超值
北京,日产 骐达 2016款 1.6L CVT酷动版,https://image.guazistatic.com/gz01190626/15/01/4bd179e590ee4f1c081b78f0914d85f5.jpg,/cd/a0991a47a92fca96x.htm,2018年,0.7万公里,到店服务,9.00万,12.40万,,准新车
北京,雪佛兰 迈锐宝 2014款 1.6T 自动舒适版,https://image.guazistatic.com/gz01190628/12/40/066ba4221670f1bcbbc5d1d0d3cf44e8.jpg,/xa/ed6ca3f800135f37x.htm,2014年,5.2万公里,到店服务,7.50万,19.70万,新上架,
